Type	Allocations	Bytes
 - Microsoft.OData.Edm.Csdl.Parsing.CsdlParser	7	280
 - Microsoft.OData.Edm.Csdl.Parsing.CsdlDocumentParser	7	1,120
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlSchema	7	784
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlReference	7	392
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlModel	7	336
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlInclude	7	336
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsSchema	7	784
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsReference	7	504
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsModel	7	896
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsDirectValueAnnotationsManager	7	336
 - System.WeakReference	6	144
 - System.Signature	6	480
 - System.RuntimeMethodInfoStub	6	528
 - System.Linq.EmptyPartition<>	6	144
 - System.Diagnostics.Tracing.TraceLoggingEventHandleTable	6	144
 - System.Diagnostics.Tracing.EventSourceAttribute[]	6	192
 - System.Diagnostics.Tracing.EventSourceAttribute	6	240
 - System.Diagnostics.Tracing.EventPipeEventProvider	6	144
 - System.Diagnostics.Tracing.EtwEventProvider	6	144
 - Microsoft.OData.JsonLight.ODataJsonLightSerializer.<>c__DisplayClass6_0	6	192
 - Microsoft.OData.Edm.IEdmStructuredType[]	6	304
 - Microsoft.OData.Edm.EdmTemporalTypeReference	6	240
 - Microsoft.OData.Edm.EdmStringTypeReference	6	288
 - Microsoft.OData.Edm.EdmCoreModelPrimitiveType[]	6	1,136
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlTypeDefinition[]	6	336
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlCollectionExpression	6	288
 - System.Reflection.RuntimeModule	5	320
 - System.Reflection.RuntimeMethodInfo[]	5	184
 - System.Linq.Enumerable.WhereArrayIterator<>	5	248
 - System.Collections.ArrayList	5	160
 - Microsoft.OData.JsonLight.JsonLightODataAnnotationWriter	5	200
 - Microsoft.OData.Edm.IEdmReference[]	5	248
 - Microsoft.OData.Edm.EdmCollectionType	5	120
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlTextValue	5	240
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementValueExtensions.<OfText>d__2	5	280
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlEnumType[]	5	280
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsReference[]	5	248
 - System.UInt32[]	4	1,148
 - System.TimeSpan	4	96
 - System.Threading.ThreadPoolBoundHandleOverlapped	4	288
 - System.Threading.Tasks.TaskFactory<>.<>c__DisplayClass35_0	4	160
 - System.Threading.OverlappedData	4	288
 - System.Text.RegularExpressions.RegexCharClass.SingleRange[]	4	168
 - System.Text.RegularExpressions.RegexCharClass	4	192
 - System.Reflection.RuntimeMethodInfo	4	416
 - System.Reflection.ParameterInfo[]	4	96
 - System.Reflection.AssemblyName	4	352
 - System.Net.ListenerAsyncResult	4	320
 - System.Net.AsyncRequestContext	4	288
 - System.Linq.Set<>.Slot[]	4	544
 - System.Linq.Set<>	4	192
 - System.Linq.Enumerable.<ExceptIterator>d__80<>	4	384
 - System.IntPtr	4	96
 - System.Globalization.NumberFormatInfo	4	800
 - System.Globalization.CultureData	4	1,888
 - System.AsyncCallback	4	256
 - System.Action<,>	4	256
 - Microsoft.OData.JsonLight.ODataJsonLightValueSerializer	4	384
 - Microsoft.OData.Edm.VersioningDictionary<,>.TwoKeyDictionary	4	224
 - Microsoft.OData.Edm.IEdmProperty[]	4	224
 - Microsoft.OData.Edm.Csdl.CsdlReader	4	416
 - System.Xml.XmlReader[]	3	96
 - System.WeakReference[]	3	184
 - System.Uri.MoreInfo	3	192
 - System.Threading.ThreadPoolBoundHandle	3	96
 - System.Text.UTF8Encoding.UTF8EncodingSealed	3	144
 - System.Text.UnicodeEncoding	3	144
 - System.Text.RegularExpressions.RegexNode[]	3	168
 - System.Security.Authentication.ExtendedProtection.ExtendedProtectionPolicy	3	120
 - System.Runtime.CompilerServices.AsyncTaskMethodBuilder<>.AsyncStateMachineBox<>	3	456
 - System.Resources.ResourceFallbackManager.<GetEnumerator>d__5	3	144
 - System.Reflection.RuntimePropertyInfo[]	3	120
 - System.Reflection.MemberFilter	3	192
 - System.Net.Sockets.SafeFreeAddrInfo	3	96
 - System.Net.ServiceNameStore	3	96
 - System.Net.IPHostEntry	3	144
 - System.Net.IPAddress.ReadOnlyIPAddress	3	120
 - System.Net.HttpServerSessionHandle	3	120
 - System.Net.HttpRequestQueueV2Handle	3	96
 - System.Net.HttpListenerTimeoutManager	3	120
 - System.Net.HttpListenerPrefixCollection	3	72
 - System.Net.HttpListener	3	432
 - System.Linq.Enumerable.Concat2Iterator<>	3	168
 - System.Guid	3	96
 - System.DateTime	3	72
 - System.CultureAwareComparer	3	96
 - System.Collections.Hashtable.ValueCollection	3	72
