Name	Total (Allocations)	Self (Allocations)	Self Size (Bytes)
|| - Microsoft.OData.ODataFormat.cctor()	8	8	304
|| - Microsoft.OData.UriParser.ParameterAliasValueAccessor.ctor(System.Collections.Generic.IDictionary<string, string>)	5	4	280
|| - Microsoft.OData.Buffers.BufferUtils.RentFromBuffer(Microsoft.OData.Buffers.ICharArrayPool, int)	1	1	280
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.PrepareResourceForWriteStart(ResourceScope, Microsoft.OData.ODataResource, bool, Microsoft.OData.SelectedPropertiesNode)	20,004	4	264
|| - Microsoft.OData.MediaTypeUtils.cctor()	24	5	264
|| - Microsoft.OData.ODataMediaType.SelectEncoding()	16	4	264
|| - Microsoft.OData.Json.JsonWriter.WriteValue(string)	1,283	4	256
|| - Microsoft.OData.ODataMessageWriter.CreateODataResourceSetWriter(Microsoft.OData.Edm.IEdmEntitySetBase, Microsoft.OData.Edm.IEdmStructuredType)	7	5	248
|| - Microsoft.OData.ODataUtilsInternal.SetODataVersion(Microsoft.OData.ODataMessage, Microsoft.OData.ODataMessageWriterSettings)	10	5	242
|| - Microsoft.OData.UriUtils.EnsureTaillingSlash(System.Uri)	7	4	232
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.GetCollectionItemTypeName(string, bool)	4	3	224
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.AsCollectionOrNull(Microsoft.OData.Edm.IEdmTypeReference)	2	2	216
|| - Microsoft.OData.HttpUtils.IsMetadataParameter(string)	3	3	200
|| - Microsoft.OData.ODataResponseMessage.SetHeader(string, string)	3	3	200
|| - Microsoft.OData.ODataResourceTypeContext+ODataResourceTypeContextWithModel.get_NavigationSourceFullTypeName()	6	4	196
|| - Microsoft.OData.ODataMessageExtensions.PreferenceAppliedHeader(Microsoft.OData.IODataResponseMessage)	5	4	194
|| - Microsoft.OData.PropertyCacheHandler.EnterResourceSetScope(Microsoft.OData.Edm.IEdmStructuredType, int)	16	4	192
|| - Microsoft.OData.MediaTypeUtils.MediaTypeHasParameterWithValue(Microsoft.OData.ODataMediaType, string, string)	4	4	192
|| - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer.WriteResourceEndMetadataProperties(Microsoft.OData.JsonLight.IODataJsonLightWriterResourceState, Microsoft.OData.IDuplicatePropertyNameChecker)	80,004	4	176
|| - Microsoft.OData.HttpUtils.EncodingFromAcceptableCharsets(string, Microsoft.OData.ODataMediaType, System.Text.Encoding, System.Text.Encoding)	20	4	168
|| - Microsoft.OData.ODataMessageWriterSettings.ctor()	5	5	168
|| - Microsoft.OData.ValidationUtils.ValidatePropertyName(string)	10	3	160
|| - Microsoft.OData.ODataMediaTypeResolver.GetMediaTypeFormats(Microsoft.OData.ODataPayloadKind)	3	2	160
|| - Microsoft.OData.ODataWriterCore.WriteStartResourceImplementation(Microsoft.OData.ODataResource)	85,055	3	152
|| - Microsoft.OData.PropertyCacheHandler.ctor()	5	3	136
|| - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer.WriteResourceSetStartMetadataProperties(Microsoft.OData.ODataResourceSet, string, string, bool)	5,007	2	128
|| - Microsoft.OData.ODataWriterCore+ResourceSetBaseScope.GetOrCreateTypeContext(bool)	5,006	3	120
|| - Microsoft.OData.ODataPreferenceHeader.get_Preferences()	13	3	120
|| - Microsoft.OData.ODataWriterCore.Flush()	4	2	120
|| - Microsoft.OData.JsonLight.ODataJsonLightOutputContext.get_TypeNameOracle()	4	3	120
|| - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer.WriteResourceMetadataProperties(Microsoft.OData.JsonLight.IODataJsonLightWriterResourceState)	3	3	120
|| - Microsoft.OData.ODataMessageWriter.VerifyWriterNotDisposedAndNotUsed()	2	2	120
|| - Microsoft.OData.ValidationUtils.ValidateIsExpectedPrimitiveType(object, Microsoft.OData.Edm.IEdmPrimitiveTypeReference, Microsoft.OData.Edm.IEdmTypeReference)	2	2	118
|| - Microsoft.OData.HttpHeaderValueLexer.ToHttpHeaderValue()	4	2	112
|| - Microsoft.OData.ODataResourceBase.VerifyProperties(System.Collections.Generic.IEnumerable<Microsoft.OData.ODataProperty>)	25,003	2	104
|| - Microsoft.OData.WriterValidator.ValidateTypeKind(Microsoft.OData.Edm.EdmTypeKind, Microsoft.OData.Edm.EdmTypeKind, System.Nullable<bool>, Microsoft.OData.Edm.IEdmType)	4	2	104
|| - Microsoft.OData.Json.JsonWriter.ctor(System.IO.TextWriter, bool, Microsoft.OData.Json.ODataStringEscapeOption)	4	3	104
|| - Microsoft.OData.HttpHeaderValueLexer+HttpHeaderEnd.cctor()	2	2	104
|| - Microsoft.OData.Json.JsonValueUtils.WriteEscapedJsonStringValue(System.IO.TextWriter, string, Microsoft.OData.Json.ODataStringEscapeOption, Microsoft.OData.Ref<wchar[]>, Microsoft.OData.Buffers.ICharArrayPool)	132,863	2	96
|| - Microsoft.OData.ODataMessageWriter.EnsureODataVersion()	12	2	96
|| - Microsoft.OData.ODataWriterCore.CheckForNestedResourceInfoWithContent.AnonymousMethod__173_0(Microsoft.OData.ODataWriterCore, Microsoft.OData.ODataNestedResourceInfo, Microsoft.OData.ODataPayloadKind)	1	1	96
|| - Microsoft.OData.ValidationUtils.cctor()	2	2	94
|| - Microsoft.OData.Evaluation.NoOpResourceMetadataBuilder.TryGetIdForSerialization(ref System.Uri)	2	2	88
|| - Microsoft.OData.ODataWriterCore.get_ParentScope()	75,004	2	80
|| - Microsoft.OData.JsonLight.ODataJsonLightSerializer..ctor.AnonymousMethod__2()	2	2	80
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.IsPrimitiveType(System.Type)	2	2	80
|| - Microsoft.OData.ResourceSetWithoutExpectedTypeValidator.ValidateResource(Microsoft.OData.Edm.IEdmType)	2	2	80
|| - Microsoft.OData.WriterValidationUtils.ValidateNestedResource(Microsoft.OData.Edm.IEdmStructuredType, Microsoft.OData.Edm.IEdmStructuredType)	2	2	80
|| - Microsoft.OData.ODataMessageWriter.GetOrCreateMessageInfo(System.IO.Stream, bool)	1	1	72
|| - Microsoft.OData.ODataUri.cctor()	1	1	72
|| - Microsoft.OData.ODataWriterCore.LeaveScope()	6	1	64
|| - Microsoft.OData.ODataWriterCore.StartPayloadInStartState()	2	1	64
|| - Microsoft.OData.Metadata.EdmTypeWriterResolver.cctor()	2	2	64
|| - Microsoft.OData.ODataContextUriBuilder.Create(System.Uri, bool)	2	2	64
|| - Microsoft.OData.ODataMessageWriterSettings.get_SelectedProperties()	1	1	64
|| - Microsoft.OData.ODataResponseMessage.GetStream()	1	1	64
